name,slug,abbreviation,status,thcLimit,summary,regulatoryBody,regulatoryUrl,licensingInfo,laws,resources,notes,lastUpdated
Alabama,alabama,AL,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Alabama are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Alaska,alaska,AK,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Alaska are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Arizona,arizona,AZ,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Arizona are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Arkansas,arkansas,AR,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Arkansas are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
California,california,CA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for California are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Colorado,colorado,CO,legal,"0.3% total THC on a dry-weight basis, aligned with federal law; Colorado requires total THC testing for production compliance before harvest.","Colorado permits hemp cultivation under a state registration program administered by the Colorado Department of Agriculture, with sampling, testing, and disposal requirements aligned to the USDA framework. The state also allows many hemp-derived consumer products, but it takes a relatively strict approach to intoxicating or chemically modified hemp cannabinoids, especially in food, dietary supplements, and cosmetics.",Colorado Department of Agriculture,https://ag.colorado.gov/plants/industrial-hemp-program,"Colorado uses registrations for hemp cultivation and seed activities through the Colorado Department of Agriculture rather than a single universal hemp business license. Registrants must identify growing locations, comply with pre-harvest sampling and testing, maintain records, and dispose of non-compliant crops; businesses making ingestible or cosmetic hemp products may also need applicable food or manufacturing licenses.",[,[,"Colorado is more restrictive than many states on intoxicating hemp products and chemically modified or converted cannabinoids such as delta-8-style products. Finished-product compliance can also involve CDPHE and, for some product categories, marijuana rules; official General Assembly bill pages are used here because they are the reliable public bill record.",2026-04-05
Connecticut,connecticut,CT,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Connecticut are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Delaware,delaware,DE,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Delaware are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Florida,florida,FL,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Florida are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Georgia,georgia,GA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Georgia are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Hawaii,hawaii,HI,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Hawaii are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Idaho,idaho,ID,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Idaho are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Illinois,illinois,IL,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Illinois are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Indiana,indiana,IN,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Indiana are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Iowa,iowa,IA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Iowa are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Kansas,kansas,KS,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Kansas are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Kentucky,kentucky,KY,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Kentucky are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Louisiana,louisiana,LA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Louisiana are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Maine,maine,ME,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Maine are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Maryland,maryland,MD,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Maryland are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Massachusetts,massachusetts,MA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Massachusetts are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Michigan,michigan,MI,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Michigan are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Minnesota,minnesota,MN,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Minnesota are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Mississippi,mississippi,MS,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Mississippi are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Missouri,missouri,MO,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Missouri are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Montana,montana,MT,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Montana are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Nebraska,nebraska,NE,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Nebraska are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Nevada,nevada,NV,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Nevada are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
New Hampshire,new-hampshire,NH,pending,0.3% total THC on a dry-weight basis,Hemp regulations for New Hampshire are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
New Jersey,new-jersey,NJ,pending,0.3% total THC on a dry-weight basis,Hemp regulations for New Jersey are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
New Mexico,new-mexico,NM,pending,0.3% total THC on a dry-weight basis,Hemp regulations for New Mexico are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
New York,new-york,NY,pending,0.3% total THC on a dry-weight basis,Hemp regulations for New York are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
North Carolina,north-carolina,NC,pending,0.3% total THC on a dry-weight basis,Hemp regulations for North Carolina are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
North Dakota,north-dakota,ND,pending,0.3% total THC on a dry-weight basis,Hemp regulations for North Dakota are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
