name,slug,abbreviation,status,thcLimit,summary,regulatoryBody,regulatoryUrl,licensingInfo,laws,resources,notes,lastUpdated
Alabama,alabama,AL,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Alabama are currently being researched.,,,,[],[],,2026-04-07
Alaska,alaska,AK,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Alaska are currently being researched.,,,,[],[],,2026-04-07
Arizona,arizona,AZ,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Arizona are currently being researched.,,,,[],[],,2026-04-07
Arkansas,arkansas,AR,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Arkansas are currently being researched.,,,,[],[],,2026-04-07
California,california,CA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for California are currently being researched.,,,,[],[],,2026-04-07
Colorado,colorado,CO,legal,0.3% total THC on a dry-weight basis,"Colorado permits hemp cultivation under a state registration program administered by the Colorado Department of Agriculture, with sampling, testing, and disposal requirements aligned to the USDA framework. The state also allows many hemp-derived consumer products, but it takes a relatively strict approach to intoxicating or chemically modified hemp cannabinoids, especially in food, dietary supplements, and cosmetics.",Colorado Department of Agriculture,https://ag.colorado.gov/plants/industrial-hemp-program,"Colorado uses registrations for hemp cultivation and seed activities through the Colorado Department of Agriculture rather than a single universal hemp business license. Registrants must identify growing locations, comply with pre-harvest sampling and testing, maintain records, and dispose of non-compliant crops; businesses making ingestible or cosmetic hemp products may also need applicable food or manufacturing licenses.","[{""title"": ""SB19-220 Industrial Hemp Regulatory Authority"", ""url"": ""https://ag.colorado.gov/plants/hemp"", ""year"": 2019}, {""title"": ""HB22-1341 Marijuana and Industrial Hemp Regulation"", ""url"": ""https://leg.colorado.gov/bills/hb22-1341"", ""year"": 2022}]","[{""label"": ""State Hemp Program"", ""url"": ""https://ag.colorado.gov/plants/industrial-hemp-program""}, {""label"": ""License/Application Portal"", ""url"": """"}, {""label"": ""Testing Requirements"", ""url"": ""https://ag.colorado.gov/plants/industrial-hemp-program""}]","Colorado is more restrictive than many states on intoxicating hemp products and chemically modified or converted cannabinoids such as delta-8-style products. Finished-product compliance can also involve CDPHE and, for some product categories, marijuana rules; official General Assembly bill pages are used here because they are the reliable public bill record.",2026-04-05
Connecticut,connecticut,CT,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Connecticut are currently being researched.,,,,[],[],,2026-04-07
Delaware,delaware,DE,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Delaware are currently being researched.,,,,[],[],,2026-04-07
Florida,florida,FL,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Florida are currently being researched.,,,,[],[],,2026-04-07
Georgia,georgia,GA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Georgia are currently being researched.,,,,[],[],,2026-04-07
Hawaii,hawaii,HI,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Hawaii are currently being researched.,,,,[],[],,2026-04-07
Idaho,idaho,ID,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Idaho are currently being researched.,,,,[],[],,2026-04-07
